created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Oct 20 09:36:34 +0000 2022;1583029396323332096;"Ini daftar lokasi CGV yg bakalan tayangkan konser Coldplay   Daerah kalian ada gak?? https://t.co/jA2QCpOa4Y";267;380;309;1603;in;1302778010957803522;1583029396323332096;chizikook_;https://twitter.com/chizikook_/status/1583029396323332096
Thu Oct 20 09:31:13 +0000 2022;1583028052883570688;"[💜]  Jin akan menampilkan “The Astronaut” bersama Coldplay di Argentina concert pada tanggal 28 oktober   Konser akan ada secara live stream dan ulangan di teater pada seluruh dunia  video penampilan ini akan di upload di  BANGTAN TV  #방탄소년단 #BTS @BTS_twt https://t.co/PLxeJ6iDz0";39;27;434;974;in;1133734878334279683;1583028052883570688;ARMYTEAMIID;https://twitter.com/ARMYTEAMIID/status/1583028052883570688
Thu Oct 20 09:26:28 +0000 2022;1583026856172789760;"Namun, kami akan mengunggah video penampilan "The Astronaut" setelah konser untuk memastikan ARMY di seluruh dunia dapat menonton penampilan Jin dan Coldplay. Tanggal dan Waktu Upload: 15:00, Sabtu, 29 Oktober 2022 (KST) Saluran Unggah: BANGTAN TV  +";20;4;112;532;in;1410284423166107648;1583026844957175809;7btsupdates;https://twitter.com/7btsupdates/status/1583026856172789760
Thu Oct 20 09:26:25 +0000 2022;1583026844957175809;"Halo. Ini BIGHIT MUSIC.  Kami ingin menginformasikan tentang partisipasi Jin BTS dalam tur dunia Coldplay.  Dalam konser Argentina Coldplay “MUSIC of the SPHERES Tour,” Jin akan membawakan “The Astronaut” bersama Coldplay.  + https://t.co/GwKWzJ3Hrb";266;120;2140;5714;in;1410284423166107648;1583026844957175809;7btsupdates;https://twitter.com/7btsupdates/status/1583026844957175809
Thu Oct 20 09:16:18 +0000 2022;1583024299874844672;"[💜]  Jin akan hadir pada penampilan Coldplay onstage untuk #TheAstronaut  di Buenos Aires, Argentina pd tanggal 28 oktober  #방탄소년단 #BTS @BTS_twt";15;7;284;606;in;1133734878334279683;1583024299874844672;ARMYTEAMIID;https://twitter.com/ARMYTEAMIID/status/1583024299874844672
Thu Oct 20 09:10:19 +0000 2022;1583022792026398721;"Jin akan membawakan The Astronaut bersama Coldplay di Argentina pada 28 Agustus di “Music of the Spheres” konser. https://t.co/Reoau1xWEP";125;135;735;2349;in;1410284423166107648;1583022792026398721;7btsupdates;https://twitter.com/7btsupdates/status/1583022792026398721
Wed Oct 19 15:03:37 +0000 2022;1582749317294870530;"@BIGHIT_MUSIC @coldplay SEOKJIN × COLDPLAY 🙌💜 https://t.co/LDACO0hl03";8;9;283;1975;in;1083120743897026561;1582748411891023872;BTS21_2019;https://twitter.com/BTS21_2019/status/1582749317294870530
Tue Oct 18 06:19:39 +0000 2022;1582255064969666560;"Salam Hangat Indomy 💜💜  Sehubungan akan rilisnya single dari Seokjin #BTS with ColdPlay. Kami  berencana membuka donasi mensupport single tersebut untuk chart US/PR dan INDOMY.   Tunggu info selanjutnya...";11;40;472;894;in;1118099418073329665;1582255064969666560;fundsforBTS_ID;https://twitter.com/fundsforBTS_ID/status/1582255064969666560
Tue Oct 18 04:18:35 +0000 2022;1582224599722229762;"Big Hit Music menanggapi tentang Jin single dari Coldplay dengan mengatakan, “Kami akan mengungkapkan tanggal dan waktu spesifik dan kolaborasi nanti. Kami mohon pengertiannya.” Diyakini bahwa MV dan konten terkait untuk solo telah difilmkan.  + https://t.co/psG7z4S7MX";49;47;707;2623;in;1410284423166107648;1582224599722229762;7btsupdates;https://twitter.com/7btsupdates/status/1582224599722229762
Tue Oct 18 02:16:20 +0000 2022;1582193835140329473;"[💜]  TenAsia Exclusive reports, mengatakan bahwa jin menerima lagu dari  Coldplay dan lagu kolaborasi ini akan rilis di bulan oktober  #방탄소년단 #BTS @BTS_twt   https://t.co/I1nT3h6wzO https://t.co/cKIe8q3b6g";25;10;310;721;in;1133734878334279683;1582193835140329473;ARMYTEAMIID;https://twitter.com/ARMYTEAMIID/status/1582193835140329473
Tue Oct 18 02:15:46 +0000 2022;1582193693318320129;"[💜]  ohooo 🤭🤭 bighit secara tidak langsung mengkonfirmasi bahwa akan ada kolaborasi untuk solo Jin Mendatang  👀👀  Jin of @BTS_twt  x Coldplay   #방탄소년단 #BTS";4;13;213;948;in;1133734878334279683;1582193693318320129;ARMYTEAMIID;https://twitter.com/ARMYTEAMIID/status/1582193693318320129
Tue Oct 18 01:57:55 +0000 2022;1582189199239045120;"LET'S TREND  SEOKJIN X COLDPLAY  JIN X COLDPLAY  SEOKPLAY JIN IS COMING KSJ1 IS COMING";6;204;1049;1581;in;862145729472716801;1582189199239045120;btsglobally;https://twitter.com/btsglobally/status/1582189199239045120
Tue Oct 18 01:22:53 +0000 2022;1582180381167882242;"- Jin solo rilis bulan ini (akhir Oktober) - Jin collab with Coldplay - Coldplay mempersembahkan lagu untuk Jin (hadiah)  SO EXCITED JIN X COLDPLAY!!! 🥺💜";16;14;413;1386;in;442477264;1582180381167882242;rahmdess27;https://twitter.com/rahmdess27/status/1582180381167882242
Tue Oct 18 00:34:41 +0000 2022;1582168251785940992;"Hot news !  Menurut laporan eksklusif TenAsia, Jin BTS telah menerima lagu dari band Inggris Coldplay untuk single solonya, yang dijadwalkan akan dirilis bulan ini.  JIN X COLDPLAY #SeokjinXColdplay https://t.co/xrconi3Keu";39;8;361;1871;in;1254543565042020352;1582168251785940992;MoonJin_sky;https://twitter.com/MoonJin_sky/status/1582168251785940992
Tue Oct 18 00:05:01 +0000 2022;1582160787627352066;"Coldplay mempersembahkan sebuah lagu untuk anggota BTS Jin. Sebagai hasil dari liputan Ten Asia pada tanggal 18, lagu solo Jin yang berkolaborasi dengan Coldplay akan dirilis dalam bulan ini.   CAN'T WAIT OMGGG 😭😭😭";112;128;1149;4194;in;174630305;1582160787627352066;laviedenoona;https://twitter.com/laviedenoona/status/1582160787627352066
